state	county	lat	lon
Illinois	Greene County	39.3554	-90.3877
Illinois	Grundy County	41.2924	-88.4011
Illinois	Hamilton County	38.0852	-88.5390
Illinois	Hancock County	40.4013	-91.1688
Illinois	Hardin County	37.5179	-88.2661
Illinois	Henderson County	40.8145	-90.9412
Illinois	Henry County	41.3500	-90.1308
Illinois	Iroquois County	40.7489	-87.8336
Illinois	Jackson County	37.7861	-89.3812
Illinois	Jasper County	39.0049	-88.1507
Illinois	Jefferson County	38.3008	-88.9242
Illinois	Jersey County	39.0802	-90.3614
Illinois	Jo Daviess County	42.3624	-90.2115
Illinois	Johnson County	37.4607	-88.8821
Illinois	Kane County	41.9396	-88.4280
Illinois	Kankakee County	41.1395	-87.8611
Illinois	Kendall County	41.5881	-88.4306
Illinois	Knox County	40.9309	-90.2138
Illinois	LaSalle County	41.3433	-88.8859
Illinois	Lake County	42.1860	-87.8059
Illinois	Lawrence County	38.7190	-87.7302
Illinois	Lee County	41.7474	-89.2994
Illinois	Livingston County	40.8944	-88.5529
Illinois	Logan County	40.1293	-89.3653
Illinois	Macon County	39.8602	-88.9615
Illinois	Macoupin County	39.2659	-89.9263
Illinois	Madison County	38.8271	-89.9002
Illinois	Marion County	38.6482	-88.9204
Illinois	Marshall County	41.0311	-89.3424
Illinois	Mason County	40.2370	-89.9136
Illinois	Massac County	37.2161	-88.7057
Illinois	McDonough County	40.4558	-90.6790
Illinois	McHenry County	42.3243	-88.4522
Illinois	McLean County	40.4946	-88.8445
Illinois	Menard County	40.0226	-89.7941
Illinois	Mercer County	41.2056	-90.7418
Illinois	Monroe County	38.2780	-90.1791
Illinois	Montgomery County	39.2281	-89.4781
Illinois	Morgan County	39.7177	-90.2050
Illinois	Moultrie County	39.6369	-88.6257
Illinois	Ogle County	42.0419	-89.3202
Illinois	Peoria County	40.7860	-89.7670
Illinois	Perry County	38.0844	-89.3685
Illinois	Piatt County	40.0090	-88.5924
