state   county   lat  lon
Indiana	Lake County	41.4722	-87.3743
Tennessee	Bedford County	35.5137	-86.4583
Tennessee	Clay County	36.5457	-85.5457
Illinois	Coles County	39.5137	-88.2208
Tennessee	Lauderdale County	35.7630	-89.6277
Oregon	Baker County	44.7034	-117.6919
New York	Schuyler County	42.4198	-76.9386
Michigan	Van Buren County	42.2821	-86.3061
Illinois	Mercer County	41.2056	-90.7418
Kentucky	Lawrence County	38.0745	-82.7383
Kentucky	Morgan County	37.9229	-83.2589
Kentucky	Muhlenberg County	37.2138	-87.1341
Illinois	Effingham County	39.0479	-88.5928
Tennessee	Loudon County	35.7351	-84.3141
South Dakota	Clark County	44.8552	-97.7249
Florida	Gilchrist County	29.7235	-82.7958
Indiana	Tippecanoe County	40.3891	-86.8936
Pennsylvania	Snyder County	40.7554	-77.0729
Texas	Lamar County	33.6673	-95.5703
Florida	Miami-Dade County	25.6160	-80.5037
Nebraska	Dundy County	40.1802	-101.6811
Texas	Leon County	31.3005	-95.9956
Colorado	Pitkin County	39.2175	-106.9162
North Dakota	Grand Forks County	47.9260	-97.4509
Indiana	LaPorte County	41.5490	-86.7447
Indiana	Hamilton County	40.0535	-86.0217
Virginia	Emporia city	36.6962	-77.5360
Oklahoma	Lincoln County	35.7031	-96.8814
Kansas	Greeley County	38.4804	-101.8060
Georgia	Harris County	32.7315	-84.9124
Georgia	Screven County	32.7448	-81.6176
Texas	Stonewall County	33.1796	-100.2538
Ohio	Henry County	41.3316	-84.0689
New Hampshire	Grafton County	43.9264	-71.8424
Missouri	Newton County	36.9084	-94.3350
Indiana	Posey County	38.0276	-87.8687
Texas	McMullen County	28.3849	-98.5789
Illinois	Cumberland County	39.2731	-88.2406
Georgia	Walton County	33.7839	-83.7318
Minnesota	Pope County	45.5896	-95.4467
Virginia	Rappahannock County	38.6845	-78.1688
Virginia	Amherst County	37.6293	-79.1547
California	Ventura County	34.3587	-119.1331
Illinois	Crawford County	39.0028	-87.7606
Colorado	Park County	39.1189	-105.7176
California	Los Angeles County	34.1964	-118.2619
Arizona	Yuma County	32.7739	-113.9109
Georgia	Gordon County	34.5097	-84.8739
Iowa	Calhoun County	42.3862	-94.6437
Florida	Highlands County	27.3411	-81.3424
Virginia	Covington city	37.7811	-79.9854
Vermont	Orange County	44.0034	-72.3696
Kansas	McPherson County	38.3958	-97.6475
Arizona	Pinal County	32.9185	-111.3663
Ohio	Fulton County	41.5973	-84.1243
Colorado	Alamosa County	37.5684	-105.7880
Florida	Citrus County	28.8503	-82.5956
Tennessee	DeKalb County	35.9822	-85.8336
Pennsylvania	Clarion County	41.1982	-79.4204
South Dakota	Miner County	44.0215	-97.6081
South Dakota	Jerauld County	44.0634	-98.6232
Indiana	Decatur County	39.3060	-85.4998
Indiana	Dubois County	38.3733	-86.8734
Virginia	Essex County	37.9364	-76.9337
South Carolina	Williamsburg County	33.6265	-79.7165
New York	Essex County	44.1096	-73.7784
Iowa	Worth County	43.3735	-93.2485
Oklahoma	Hughes County	35.0529	-96.2512
Virginia	Buchanan County	37.2681	-82.0382
Virginia	Alleghany County	37.7879	-80.0087
Mississippi	Lowndes County	33.4714	-88.4397
Indiana	Scott County	38.6794	-85.7519
Colorado	Prowers County	37.9582	-102.3922
Texas	Sutton County	30.5222	-100.5134
Oklahoma	Muskogee County	35.6176	-95.3839
Missouri	Christian County	36.9697	-93.1876
Mississippi	Lamar County	31.1976	-89.5064
Indiana	Ripley County	39.1002	-85.2605
North Dakota	Mercer County	47.3071	-101.8333
Georgia	Hart County	34.3487	-82.9633
Louisiana	Jackson Parish	32.3043	-92.5617
Virginia	Northumberland County	37.8570	-76.3797
Texas	Fort Bend County	29.5266	-95.7710
Wisconsin	Green Lake County	43.7802	-88.9704
Montana	Pondera County	48.2286	-112.2208
Wisconsin	Walworth County	42.6681	-88.5417
Nevada	Mineral County	38.5166	-118.4163
Illinois	Fulton County	40.4652	-90.2023
New York	Suffolk County	40.9436	-72.6922
Indiana	Union County	39.6231	-84.9251
Missouri	McDonald County	36.6280	-94.3437
Nebraska	Scotts Bluff County	41.8505	-103.7030
New Mexico	San Miguel County	35.4769	-104.8035
Alabama	Lee County	32.6041	-85.3530
Texas	Parker County	32.7771	-97.8059
North Dakota	Dickey County	46.1078	-98.4965
North Dakota	Barnes County	46.9425	-98.0702
Minnesota	Sibley County	44.5757	-94.2301
Georgia	Upson County	32.8818	-84.2923
California	Sonoma County	38.5252	-122.9261
Michigan	Chippewa County	46.3218	-84.5206
Idaho	Bonneville County	43.3952	-111.6219
Georgia	Barrow County	33.9920	-83.7123
Georgia	Long County	31.7496	-81.7429
